NAME,Symbol,Market Value (millions)
"APPLIED MATERIALS, INC.",AMAT,"$30,908.40"
BT GROUP PLC,BT,"$30,852.00"
"CARDINAL HEALTH, INC.",CAH,"$30,849.60"
FEDEX CORPORATION,FDX,"$30,737.70"
BAYER AKTIENGESELLSCHAFT,BAY,"$30,535.60"
UNILEVER PLC,UL,"$30,423.30"
DEVON ENERGY CORPORATION,DVN,"$30,305.70"
ENDESA S.A.,ELE,"$30,238.00"
BANK OF MONTREAL,BMO,"$30,003.40"
BURLINGTON NORTHERN SANTA FE CORPORATION,BNI,"$29,772.60"
GROUPE DANONE,DA,"$29,673.60"
"VIACOM, INC.",VIA/B,"$29,325.10"
LOCKHEED MARTIN CORPORATION,LMT,"$29,218.00"
KOREA ELECTRIC POWER CORPORATION,KEP,"$29,152.80"
COLGATE-PALMOLIVE COMPANY,CL,"$28,436.00"
SCHERING-PLOUGH CORP,SGP,"$28,322.90"
MARATHON OIL CORPORATION,MRO,"$28,171.20"
"NATIONAL GRID TRANSCO, PLC",NGG,"$27,995.40"
"GILEAD SCIENCES, INC.",GILD,"$27,873.50"
SASOL LTD.,SSL,"$27,699.00"
AETNA INC.,AET,"$27,685.90"
ALCOA INC.,AA,"$27,413.50"
TEVA PHARMACEUTICAL INDUSTRIES LIMITED,TEVA,"$26,839.80"
KOOKMIN BANK,KB,"$26,822.90"
TRANSOCEAN INC.,RIG,"$26,786.20"
KIMBERLY-CLARK CORPORATION,KMB,"$26,685.80"
BAKER HUGHES INCORPORATED,BHI,"$26,472.40"
DUKE ENERGY CORPORATION,DUK,"$26,296.50"
"DOMINION RESOURCES, INC.",D,"$26,229.80"
"SUNTRUST BANKS, INC.",STI,"$25,863.80"
SOUTHERN COMPANY (THE),SO,"$25,821.60"
AEGON N.V.,AEG,"$25,807.50"
SANPAOLO IMI S.P.A.,IMI,"$25,796.20"
NEWMONT MINING CORPORATION (HOLDING COMPANY),NEM,"$25,644.80"
"FRANKLIN RESOURCES, INC.",BEN,"$25,427.20"
ANADARKO PETROLEUM CORPORATION,APC,"$25,351.20"
"AUTOMATIC DATA PROCESSING, INC.",ADP,"$25,335.80"
APACHE CORPORATION,APA,"$24,871.60"
"BEST BUY CO., INC.",BBY,"$24,819.70"
"HARTFORD FINANCIAL SERVICES GROUP, INC. (THE)",HIG,"$24,700.20"
PETRO-CANADA,PCZ,"$24,691.30"
SUN LIFE FINANCIAL INCORPORATED,SLF,"$24,611.10"
GUIDANT CORPORATION,GDT,"$24,570.30"
PRUDENTIAL PUBLIC LIMITED COMPANY,PUK,"$24,556.40"
BERKSHIRE HATHAWAY INC.,BRK/B,"$24,543.80"
CEMEX SA DE CV A ADS,CX,"$24,503.70"
"BANK OF NEW YORK COMPANY, INC. (THE)",BK,"$24,490.90"
STARBUCKS CORPORATION,SBUX,"$24,372.70"
TXU CORPORATION,TXU,"$24,313.70"
CANADIAN NATIONAL RAILWAY COMPANY,CNI,"$24,258.00"
ADOBE SYSTEMS INCORPORATED,ADBE,"$23,749.90"
"HITACHI, LTD.",HIT,"$23,745.30"
ILLINOIS TOOL WORKS INC.,ITW,"$23,643.60"
COSTCO WHOLESALE CORPORATION,COST,"$23,553.00"
AFLAC INCORPORATED,AFL,"$23,492.30"
UNION PACIFIC CORPORATION,UNP,"$23,436.60"
CANADIAN IMPERIAL BANK OF COMMERCE,BCM,"$23,399.10"
SLM CORPORATION,SLM,"$23,352.80"
THOMSON CORP,TOC,"$23,307.70"
ORIX CORP ADS,IX,"$23,302.30"
GENERAL DYNAMICS CORPORATION,GD,"$23,293.20"
ALLTEL CORPORATION,AT,"$22,988.20"
BAXTER INTERNATIONAL INC.,BAX,"$22,980.50"
"MITSUI & COMPANY, LTD.",MITSY,"$22,873.50"
MONSANTO COMPANY,MON,"$22,791.90"
ABB LTD,ABB,"$22,680.20"
CVS CORPORATION,CVS,"$22,602.10"
"BCE, INC.",BCE,"$22,450.40"
LIBERTY MEDIA CORPORATION,L,"$22,417.50"
TALISMAN ENERGY INC.,TLM,"$22,316.30"
CAPITAL ONE FINANCIAL CORPORATION,COF,"$22,208.70"
"CAREMARK RX, INC.",CMX,"$22,173.50"
COMCAST CORPORATION,CMCSK,"$22,160.50"
NORTHROP GRUMMAN CORPORATION,NOC,"$22,074.90"
GOLDEN WEST FINANCIAL CORPORATION,GDW,"$21,753.90"
NASDAQ-100 INDEX TRACKING STOCK,QQQQ,"$21,672.00"
NORFOLK SOUTHER CORPORATION,NSC,"$21,296.60"
BB&T CORPORATION,BBT,"$21,202.70"
NATIONAL CITY CORPORATION,NCC,"$21,166.70"
YPF SOCIEDAD ANONIMA,YPF,"$21,107.70"
PETROCHINA COMPANY LIMITED,PTR,"$21,103.10"
WIPRO LIMITED,WIT,"$21,061.60"
IMPERIAL TOBACCO GROUP PLC,ITY,"$21,029.10"
ISHARES MSCI EAFE INDEX FUND,EFA,"$20,994.20"
ROYAL KPN N.V.,KPN,"$20,932.70"
FIFTH THIRD BANCORP,FITB,"$20,845.90"
VIVENDI ENVIRONNEMENT ORD,VE,"$20,752.90"
"CADBURY SCHWEPPES, PLC",CSG,"$20,750.40"
PROGRESSIVE CORPORATION (THE),PGR,"$20,724.40"
INFOSYS TECHNOLOGIES LIMITED,INFY,"$20,622.90"
ARCHER-DANIELS-MIDLAND COMPANY,ADM,"$20,575.10"
HCA INC.,HCA,"$20,490.90"
"EOG RESOURCES, INC.",EOG,"$20,423.30"
STRYKER CORPORATION,SYK,"$20,208.90"
"POHANG IRON & STEEL CO., LTD.",PKX,"$20,014.60"
STRUCTURED PRODUCTS INC 8% CORTS,CFC,"$19,995.20"
STATE STREET CORP,STT,"$19,993.50"
